                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16
196407     -999.000        7.000        1.000        4.800        0.900     -999.000     -999.000        0.260        0.250       -0.560       -1.360      670.000     -999.000     -999.000     -999.000        0.190
196408     -999.000        6.000        2.000       13.800        2.500     -999.000     -999.000       -0.350        0.090       -0.570       -1.860      693.000     -999.000     -999.000     -999.000        0.310
196409        1.000        7.000        2.000        7.000        2.100     -999.000     -999.000       -0.330        0.340       -0.670       -2.000      702.000     -999.000     -999.000     -999.000        0.660
196410        3.000        6.000        1.000        9.200        2.200     -999.000     -999.000       -1.170        0.280        0.420       -1.690      734.000     -999.000     -999.000     -999.000        0.500
196411        3.000        5.000        0.000       11.100        0.300     -999.000     -999.000       -1.150        0.950        0.710       -1.530      737.000     -999.000     -999.000     -999.000        0.090
196412        5.000        1.000        0.000       22.100       -0.500     -999.000     -999.000       -0.320        1.080        0.040       -1.430      788.000     -999.000     -999.000     -999.000        0.030
196501        2.000        2.000        0.000       25.400       -0.700     -999.000     -999.000       -0.200       -0.620       -1.030       -1.650      786.000     -999.000     -999.000     -999.000        0.040
196502        4.000        1.000        0.000       20.800        0.700     -999.000     -999.000       -0.180       -1.260       -2.260       -1.470      752.000     -999.000     -999.000     -999.000       -0.390
196503        3.000        1.000        0.000       17.500        1.200     -999.000     -999.000       -1.200       -1.020       -1.980       -1.560      741.000     -999.000     -999.000     -999.000       -0.710
196504        4.000        1.000        0.000       10.200       -0.900     -999.000     -999.000       -0.890       -1.400       -3.440       -1.460      720.000     -999.000     -999.000     -999.000       -0.570
196505        3.000        3.000        0.000       34.500        0.300     -999.000     -999.000       -1.240       -1.840       -7.100       -1.390      782.000     -999.000     -999.000     -999.000       -0.310
196506     -999.000        2.000        1.000       23.300       -0.900     -999.000     -999.000       -1.160       -2.260      -12.010       -1.200      770.000     -999.000     -999.000     -999.000        0.400
196507     -999.000        5.000        3.000       17.300       -3.000     -999.000     -999.000       -0.890       -1.510      -16.000       -1.050      743.000     -999.000     -999.000     -999.000        0.450
196508     -999.000        6.000        2.000       13.300       -1.100     -999.000     -999.000       -1.240       -2.350      -18.190       -1.030      748.000     -999.000     -999.000     -999.000        0.720
196509        2.000        7.000        2.000       24.500       -2.200     -999.000     -999.000       -0.720       -2.660      -20.030       -0.920      766.000     -999.000     -999.000     -999.000        0.430
196510        3.000        2.000        0.000       29.100       -1.500     -999.000     -999.000       -0.640       -2.640      -20.130       -0.850      802.000     -999.000     -999.000     -999.000        0.360
